<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
AAA,20180110,34.00,34.15,33.50,34.00,1185410,34.00,34.15,33.50,34.00,0,130690,30
AAA,20180109,33.60,34.00,33.55,33.95,1641170,33.60,34.00,33.55,33.95,0,26500,150
AAA,20180108,32.60,33.60,32.25,33.55,2204890,32.60,33.60,32.25,33.55,0,9780,3600
AAA,20180105,32.80,33.00,32.40,32.60,1142150,32.80,33.00,32.40,32.60,0,41400,0
AAA,20180104,32.95,33.15,32.55,32.80,1533230,32.95,33.15,32.55,32.80,0,6140,22180
AAA,20180103,33.00,33.15,32.50,32.95,1443310,33.00,33.15,32.50,32.95,0,7090,5100
AAA,20180102,32.85,33.15,32.30,32.85,1563900,32.85,33.15,32.30,32.85,0,10530,0
AAA,20171229,32.80,33.30,32.75,33.10,1562720,32.80,33.30,32.75,33.10,0,2810,700
AAA,20171228,32.75,32.85,32.50,32.75,1167480,32.75,32.85,32.50,32.75,0,700,9790
AAA,20171227,33.00,33.00,32.45,32.75,1252510,33.00,33.00,32.45,32.75,0,7910,150
AAA,20171226,32.90,33.05,32.55,32.80,1144620,32.90,33.05,32.55,32.80,0,10,4830
AAA,20171225,33.20,33.45,32.50,32.80,1072600,33.20,33.45,32.50,32.80,0,1000,10000
AAA,20171222,32.70,33.20,32.45,33.10,1753490,32.70,33.20,32.45,33.10,0,292200,0
AAA,20171221,32.80,33.35,32.55,32.70,1232590,32.80,33.35,32.55,32.70,0,34770,2020
AAA,20171220,32.50,33.15,32.30,32.50,2169020,32.50,33.15,32.30,32.50,0,400,31700
AAA,20171219,32.45,32.85,32.00,32.40,1626770,32.45,32.85,32.00,32.40,0,16870,710
AAA,20171218,32.25,32.80,32.25,32.45,1234600,32.25,32.80,32.25,32.45,60000,100,25460
AAA,20171215,31.10,32.30,30.60,32.25,3386380,31.10,32.30,30.60,32.25,0,3000,0
AAA,20171214,30.60,31.25,30.45,31.10,1884030,30.60,31.25,30.45,31.10,0,44580,0
AAA,20171213,30.90,31.15,30.55,30.55,585260,30.90,31.15,30.55,30.55,60000,18700,0
AAA,20171212,30.60,30.85,29.40,30.75,1476710,30.60,30.85,29.40,30.75,0,5290,5000
AAA,20171211,30.50,30.95,30.20,30.55,955300,30.50,30.95,30.20,30.55,0,23000,60
AAA,20171208,31.20,31.50,31.05,31.20,1098980,31.20,31.50,31.05,31.20,0,3600,17000
AAA,20171207,31.20,31.70,31.00,31.20,1167670,31.20,31.70,31.00,31.20,0,0,6440
AAA,20171206,31.80,31.85,31.10,31.15,1145740,31.80,31.85,31.10,31.15,0,2000,1000
AAA,20171205,32.60,32.70,31.90,31.90,1389410,32.60,32.70,31.90,31.90,0,13100,0
AAA,20171204,32.00,32.80,32.00,32.35,1499280,32.00,32.80,32.00,32.35,0,8500,7500
AAA,20171201,32.10,32.30,31.70,32.00,1443910,32.10,32.30,31.70,32.00,0,420,100
AAA,20171130,32.10,32.40,31.85,32.10,992300,32.10,32.40,31.85,32.10,0,0,0
AAA,20171129,31.80,32.45,31.60,32.10,1392330,31.80,32.45,31.60,32.10,0,11200,3620
AAA,20171128,32.25,32.60,31.70,31.80,1024090,32.25,32.60,31.70,31.80,0,0,0
AAA,20171127,31.50,32.40,31.40,32.20,1795980,31.50,32.40,31.40,32.20,0,12900,10010
AAA,20171124,30.80,31.45,30.70,31.35,1431770,30.80,31.45,30.70,31.35,0,24170,0
AAA,20171123,30.85,31.25,30.55,31.20,1656670,30.85,31.25,30.55,31.20,0,11160,10400
AAA,20171122,31.40,31.45,30.95,30.95,1013460,31.40,31.45,30.95,30.95,0,8890,0
AAA,20171121,31.05,31.70,30.60,31.40,2491190,31.05,31.70,30.60,31.40,0,5500,1500
AAA,20171120,30.60,31.60,29.60,31.30,2489610,30.60,31.60,29.60,31.30,20000,4800,0
AAA,20171117,31.00,31.10,30.30,30.40,1492820,31.00,31.10,30.30,30.40,0,3900,0
AAA,20171116,30.50,31.40,30.40,31.00,1598740,30.50,31.40,30.40,31.00,40340,4640,440
AAA,20171115,30.40,31.15,30.20,31.00,1886210,30.40,31.15,30.20,31.00,0,10240,150
AAA,20171114,28.60,30.05,28.35,29.75,2434890,28.60,30.05,28.35,29.75,0,840,90000
AAA,20171113,30.00,30.10,28.10,28.10,2605710,30.00,30.10,28.10,28.10,0,1540,1000
AAA,20171110,30.00,30.40,29.95,30.20,542700,30.00,30.40,29.95,30.20,0,4450,2000
AAA,20171109,30.05,30.40,29.60,30.05,1244080,30.05,30.40,29.60,30.05,0,18400,69920
AAA,20171108,30.90,30.90,30.00,30.00,1339750,30.90,30.90,30.00,30.00,70000,570,21100
AAA,20171107,30.95,31.30,30.60,30.90,1130560,30.95,31.30,30.60,30.90,0,15020,2560
AAA,20171106,30.80,30.90,30.35,30.80,598340,30.80,30.90,30.35,30.80,0,3740,0
AAA,20171103,29.80,30.50,29.20,30.50,1108710,29.80,30.50,29.20,30.50,28000,13420,4100
AAA,20171102,30.45,31.30,29.60,30.00,1156740,30.45,31.30,29.60,30.00,0,2150,2380
AAA,20171101,30.30,31.00,30.30,30.45,674610,30.30,31.00,30.30,30.45,0,100,0
AAA,20171031,30.85,31.40,29.10,30.30,1574730,30.85,31.40,29.10,30.30,0,23340,5000
AAA,20171030,32.80,32.95,30.90,30.90,1652030,32.80,32.95,30.90,30.90,0,8960,2960
AAA,20171027,33.25,33.40,32.30,32.80,1381140,33.25,33.40,32.30,32.80,0,7450,3190
AAA,20171026,33.80,33.85,33.10,33.25,754900,33.80,33.85,33.10,33.25,0,9730,6150
AAA,20171025,33.55,33.90,33.55,33.85,355630,33.55,33.90,33.55,33.85,0,8950,0
AAA,20171024,33.30,33.60,33.25,33.55,772490,33.30,33.60,33.25,33.55,0,32830,2950
AAA,20171023,34.00,34.00,33.20,33.30,1497490,34.00,34.00,33.20,33.30,0,32830,2950
AAA,20171020,34.65,34.90,33.95,34.00,1790670,34.65,34.90,33.95,34.00,0,16770,3000
AAA,20171019,35.00,35.20,34.65,34.65,894650,35.00,35.20,34.65,34.65,0,30270,2000
AAA,20171018,35.30,35.75,34.90,34.90,1654550,35.30,35.75,34.90,34.90,0,38770,200
AAA,20171017,35.20,35.80,35.20,35.25,3153970,35.20,35.80,35.20,35.25,0,3480,0
AAA,20171016,34.75,35.00,34.60,34.70,814760,34.75,35.00,34.60,34.70,0,88260,0
AAA,20171013,34.65,35.20,34.55,34.70,795350,34.65,35.20,34.55,34.70,0,14880,0
AAA,20171012,34.70,34.95,34.60,34.65,601180,34.70,34.95,34.60,34.65,0,0,0
AAA,20171011,35.40,35.40,34.50,34.75,972350,35.40,35.40,34.50,34.75,0,8600,5200
AAA,20171010,34.50,35.15,34.35,35.15,1480900,34.50,35.15,34.35,35.15,118340,37300,0
AAA,20171009,33.95,34.50,33.75,34.35,825000,33.95,34.50,33.75,34.35,0,500,0
AAA,20171006,34.00,34.25,33.85,33.95,477280,34.00,34.25,33.85,33.95,0,250,0
AAA,20171005,34.10,34.60,33.90,34.00,767740,34.10,34.60,33.90,34.00,0,1910,0
AAA,20171004,33.35,34.30,33.30,34.30,923540,33.35,34.30,33.30,34.30,0,100,0
AAA,20171003,33.75,33.85,33.00,33.40,1435880,33.75,33.85,33.00,33.40,0,2250,0
AAA,20171002,34.30,34.60,33.75,33.85,619360,34.30,34.60,33.75,33.85,0,1250,10
AAA,20170929,33.95,34.25,33.50,34.25,1658840,33.95,34.25,33.50,34.25,0,1550,25050
AAA,20170928,34.70,35.00,33.80,33.95,1944230,34.70,35.00,33.80,33.95,0,3010,0
AAA,20170927,34.80,35.10,34.60,34.70,899140,34.80,35.10,34.60,34.70,0,1150,66890
AAA,20170926,35.10,35.30,34.70,34.70,1396260,35.10,35.30,34.70,34.70,0,200,202850
AAA,20170925,35.40,36.10,35.10,35.10,1363400,35.40,36.10,35.10,35.10,0,1640,66390
AAA,20170922,35.20,35.75,35.00,35.35,1351350,35.20,35.75,35.00,35.35,0,6000,10000
AAA,20170921,34.95,35.25,34.60,35.00,1315010,34.95,35.25,34.60,35.00,44000,0,0
AAA,20170920,34.70,35.00,34.35,34.70,1510850,34.70,35.00,34.35,34.70,0,9800,0
AAA,20170919,34.70,35.40,34.60,34.60,1588240,34.70,35.40,34.60,34.60,0,2800,16740
